"","baker","baker_age","series","episode","technical","result","signature_bake","show_stopper","baker_occupation","hometown"
"149","james",21,3,6,7,"in","banana and clove puddingsclootie dumplings","strawberry, rhubarb and ginger strudel","medical student","hillswick, shetland islands"
"150","john",22,3,6,5,"in","spicy toffee puddingsraspberry and white chocolate puddings","did not complete due to injury","law student","wigan"
"151","ryan",38,3,6,6,"in","chocolate fondantssticky ginger and date puddings","apple, sour cherry, raisin and mixed nuts strudel","photographer","bristol"
"152","sarah-jane",28,3,6,4,"in","sticky toffee puddingsgranny's saucy lemon puddings","sweet strudel with sour cherries","vicar's wife","bewbush, west sussex"
"153","brendan",63,3,6,1,"star baker","rhubarb, strawberry and ginger puddings
sticky toffee puddings","spinach, cheese and walnut strudel","recruitment consultant","sutton coldfield"
"154","brendan",63,3,7,4,"in","chelsea bunskis","black forest christmas stollen","recruitment consultant","sutton coldfield"
"155","cathryn",27,3,7,5,"in","lady arundel's manchet buns","bonfire night tear 'n' share brioche","shop assistant","pease pottage, west sussex"
"156","james",21,3,7,1,"in","easter chelsea buns","whisky kugelhopf-brioche baba","medical student","hillswick, shetland islands"
"157","john",22,3,7,3,"in","cherry and almond saffron buns","marzipan stollen","law student","wigan"
"158","ryan",38,3,7,6,"out","lardy cakes","char siu bao","photographer","bristol"
"159","sarah-jane",28,3,7,7,"out","orange, nutmeg and saffron buns","sour cherry and dark chocolate christmas plait","vicar's wife","bewbush, west sussex"
"160","danny",45,3,7,2,"star baker","bakewell chelsea buns","european christmas wreath","intensive care consultant","sheffield"
"161","brendan",63,3,8,2,"in","multi-seed savoury crackers","fantasy gingerbread bird house","recruitment consultant","sutton coldfield"
"162","danny",45,3,8,4,"in","spiced almond drinks crackers","gingerbread big ben","intensive care consultant","sheffield"
"163","john",22,3,8,3,"in","asian spice crackers","gingerbread roman coliseum","law student","wigan"
"164","cathryn",27,3,8,5,"out","cheese and pickle crackers","gingerbread buckingham palace","shop assistant","pease pottage, west sussex"
"165","james",21,3,8,1,"star baker","smoky cayenne, cumin and chilli crackers","gingerbread barn","medical student","hillswick, shetland islands"
"166","brendan",63,3,9,3,"in","coffee meringue and hazelnut creamsapricot and pistachio friandslime curd choux pastry cygnets","gateau st. honoré","recruitment consultant","sutton coldfield"
"167","john",22,3,9,2,"in","lemon madeleineswhite chocolate and raspberry tartletsdark chocolate and cherry macaroons","gateau st. honoré a la passion","law student","wigan"
"168","danny",45,3,9,4,"out","blackberry and peppermint macaroonsminiature raspberry and basil financiersorange and white chocolate langues de chat","rosewater and lychee st. honoré","intensive care consultant","sheffield"
"169","james",21,3,9,1,"star baker","lemon and rhubarb tartletschocolate indulgence petits fourschilli, lime and raspberry macaroons","coffee, caramel and hazelnut paris-brest","medical student","hillswick, shetland islands"
"170","brendan",63,3,10,2,"runner-up","potato and pepper pithivier","family reunion chiffon cake","recruitment consultant","sutton coldfield"
"171","james",21,3,10,1,"runner-up","spanish pithivier with chorizo and red pepper","united chiffon cakes","medical student","hillswick, shetland islands"
"172","john",22,3,10,2,"winner","italian sausage and roasted vegetable pithivier","heaven and hell chiffon cake","law student","wigan"
"173","ali",25,4,1,11,"in","rose and pistachio cake","chocolate, raspberry and passion fruit engagement cake","charity worker","saltley, birmingham"
"174","beca",31,4,1,8,"in","grapefruit sandwich cake","chocolate cherry indulgence","military wives' choir singer","aldershot, hampshire"
"175","christine",66,4,1,3,"in","strawberry, vanilla and rosewater summer basket","chocolate and orange 'fripperous' hat cake","director of an engraving company","didcot, oxfordshire"
"176","deborah",51,4,1,9,"in","pineapple cake","'coffee time'","dentist","peterborough"
"177","frances",31,4,1,7,"in","giant jam sandwich","secret squirrel cake","children's clothes designer","market harborough, leicestershire"
"178","glenn",37,4,1,4,"in","strawberries and cream cake","almond and espresso chocolate cake","english teacher","teignmouth, devon"
"179","howard",51,4,1,6,"in","passion fruit and coconut cake","black forest revisited","council worker","sheffield"
"180","kimberley",30,4,1,10,"in","blood orange cake","chocolate, raspberry & basil layer cake","psychologist","london"
"181","lucy",38,4,1,2,"in","timperley early cake","thyme 'wildwood' cake","horticulturist","grimsby, lincolnshire"
"182","mark",37,4,1,5,"in","lemon and poppy seed cake","chocolate monster","carpenter and kitchen fitter","milton keynes"
"183","ruby",20,4,1,12,"in","rhubarb and custard sandwich cake","chocolate and ginger night sky cake","history of art and philosophy student","southend, essex"
"184","toby",30,4,1,13,"out","spiced and iced carrot cake","two tiered chocolate cake","web programmer","reading, berkshire"
"185","robert",54,4,1,1,"star baker","pecan and apple cake","raspberry chocolate cake","space satellite designer","melbourn, cambridgeshire"
"186","ali",25,4,2,9,"in","italian grissini","sweet and savoury yin yang bread","charity worker","saltley, birmingham"
"187","beca",31,4,2,11,"in","fennel and chilli breadsticks","five strand christmas wreath","military wives' choir singer","aldershot, hampshire"
"188","christine",66,4,2,4,"in","mediterranean breadsticks with oregano","double plaited loaf","director of an engraving company","didcot, oxfordshire"
"189","deborah",51,4,2,8,"in","fennel & chilli breadsticks","walnut fleur loaf","dentist","peterborough"
"190","frances",31,4,2,2,"in","giant matchsticks","sailor's knot","children's clothes designer","market harborough, leicestershire"
"191","glenn",37,4,2,7,"in","rosemary and parmesan grissini","harvest crown","english teacher","teignmouth, devon"
"192","howard",51,4,2,10,"in","moroccan breadsticks","picasso sun bread","council worker","sheffield"
"193","kimberley",30,4,2,1,"in","nigella seed and parmesan breadsticks","peace bread","psychologist","london"
"194","mark",37,4,2,6,"in","rosemary & raisin breadsticks","sage & garlic plait","carpenter and kitchen fitter","milton keynes"
"195","robert",54,4,2,5,"in","twisty rye bread sticks","tribute loaf","space satellite designer","melbourn, cambridgeshire"
"196","lucy",38,4,2,12,"out","grissini with salt","roast tomato bread","horticulturist","grimsby, lincolnshire"
"197","ruby",20,4,2,3,"star baker","mexican breadsticks","white chocolate and orange peacock bread","history of art and philosophy student","southend, essex"
"198","ali",25,4,3,5,"in","coconut, raspberry and lemon meringue trifle","vanilla latte mini cakeslime & mint shortbread pops","charity worker","saltley, birmingham"
"199","beca",31,4,3,10,"in","orange and ginger trifle","limoncello and blueberry burstsmillionaire shortbread","military wives' choir singer","aldershot, hampshire"
"200","frances",31,4,3,8,"in","apple and blackberry crumble trifle","'ballet bites' ginger nutcrackerssugar plum fairy cakes","children's clothes designer","market harborough, leicestershire"
"201","glenn",37,4,3,1,"in","raspberry and almond trifle","billionaire bouchéesorange financiers","english teacher","teignmouth, devon"
"202","howard",51,4,3,7,"in","caramel and apple trifle*","black coffee and cardamom cakeswhite stilton and pear biscuits","council worker","sheffield"
"203","kimberley",30,4,3,6,"in","peach, almond and ginger trifle","chocolate pistachio financierslemon bergamot biscuits","psychologist","london"
"204","robert",54,4,3,2,"in","rhubarb and orange trifle","almond friandsturǫn macaroons","space satellite designer","melbourn, cambridgeshire"
"205","ruby",20,4,3,3,"in","desert island trifle","lemon shortbread and white chocolate seashellsblackberry and chocolate layer cakes","history of art and philosophy student","southend, essex"
"206","deborah",51,4,3,9,"out","tropical trifle*","canelé cherry and chocolate cakesrose cookies","dentist","peterborough"
"207","mark",37,4,3,11,"out","ginger, mango and passion fruit trifle","rose and pistachio macaroonschocolate and raspberry bites","carpenter and kitchen fitter","milton keynes"
"208","christine",66,4,3,4,"star baker","caribbean pina colada trifle","ninety-ninerssachertorte parcels","director of an engraving company","didcot, oxfordshire"
"209","beca",31,4,4,2,"in","mamgu's cherry-apple tart","moroccan vegetable filo feast","military wives' choir singer","aldershot, hampshire"
"210","christine",66,4,4,7,"in","granny rogers' apple, plum & cinnamon country pie","roasted vegetable filo pie with feta cheese","director of an engraving company","didcot, oxfordshire"
"211","frances",31,4,4,1,"in","peach pie in the sky","cherry tree baklava filo pie","children's clothes designer","market harborough, leicestershire"
"212","glenn",37,4,4,9,"in","apple & maple syrup pie","spanakopita (walnut and feta cheese)","english teacher","teignmouth, devon"
"213","howard",51,4,4,5,"in","apple pie with sage pastry","fresh fig and feta filo flan","council worker","sheffield"
"214","robert",54,4,4,3,"in","apple and pear pie with thyme","spanakopita with st george's mushrooms","space satellite designer","melbourn, cambridgeshire"
"215","ruby",20,4,4,6,"in","apple and marzipan pie","rose, almond and raspberry filo pie","history of art and philosophy student","southend, essex"
"216","ali",25,4,4,8,"out","apple and ginger pie with a pecan and walnut shortcrust pastry","orange, cardamom and date m'hanncha","charity worker","saltley, birmingham"
"217","kimberley",30,4,4,4,"star baker","pecan and rosemary caramel apple pie","chicken, bacon and butternut squash pie","psychologist","london"
"218","beca",31,4,5,5,"in","chocolate, cherry and hazelnut brownies","tiered macaron and sugar dough biscuit centrepiece","military wives' choir singer","aldershot, hampshire"
"219","frances",31,4,5,3,"in","millionaire banoffee bonus","biscuit buttons and beads","children's clothes designer","market harborough, leicestershire"
"220","glenn",37,4,5,2,"in","apricot and pistachio tiffin","shortbread and macaron helter-skelter","english teacher","teignmouth, devon"
"221","howard",51,4,5,8,"in","breakfast traybake","japanese pagoda tea tower","council worker","sheffield"
"222","kimberley",30,4,5,7,"in","cherry and almond bakewell florentine slice","black and white viennese biscuit stack","psychologist","london"
"223","ruby",20,4,5,6,"in","blackberry and lemon bakewell slice","'dropped ice-cream' biscuit centrepiece","history of art and philosophy student","southend, essex"
"224","robert",54,4,5,4,"out","blueberry & orange traybake","dalek","space satellite designer","melbourn, cambridgeshire"
"225","christine",66,4,5,1,"star baker","mixed berry and almond crumble traybake","shortbread bavarian clock tower","director of an engraving company","didcot, oxfordshire"
"226","beca",31,4,6,6,"in","bara brith","chocolate and rum-soaked prune briochescardamom spiced lemon iced buns","military wives' choir singer","aldershot, hampshire"
"227","christine",66,4,6,4,"in","oxford nutty fruit loaf","schnecken bunsvanilla custard skolebrød","director of an engraving company","didcot, oxfordshire"
"228","frances",31,4,6,2,"in","chai tea loaf","hot cross briochesrhubarb and custard kolaches","children's clothes designer","market harborough, leicestershire"
"229","glenn",37,4,6,5,"in","devonshire panettone","almond and apricot briochessticky caramel kanelbullen","english teacher","teignmouth, devon"
"230","kimberley",30,4,6,3,"in","chai spiced ginger and date tea loaf","double chocolate and hazelnut briochesdanish kanelsnurrer","psychologist","london"
"231","howard",51,4,6,7,"out","date & hemp yorkshire loaf","peachy bunsgerman baumschnecken","council worker","sheffield"
"232","ruby",20,4,6,1,"star baker","citrus tea loaf","twisted swedish kanelbullarsaffron st. lucia buns","history of art and philosophy student","southend, essex"
"233","beca",31,4,7,1,"in","spring lamb and vegetable suet puddingwith redcurrant gravy","nectarine and frangipane squareschocolate and hazelnut vol-au-ventsstrawberries and cream mille-feuille","military wives' choir singer","aldershot, hampshire"
"234","christine",66,4,7,6,"in","spotted dick 'with a kick'and vanilla custard ice cream","eccles cakesfresh fruit basketslemon cream eton mess mille-feuille","director of an engraving company","didcot, oxfordshire"
"235","kimberley",30,4,7,4,"in","barberry and apple spotted dickwith maple syrup and white chocolate custard","pear, malt and butterscotch mille-feuilleblackberry and lemon verbena crème brûle custard tartsfig, orange and thyme galette","psychologist","london"
"236","ruby",20,4,7,2,"in","plum jam roly-polywith ginger ice cream","raspberry and passion fruit mille-feuillecaramelised apple latticeportuguese custard tarts","history of art and philosophy student","southend, essex"
"237","glenn",37,4,7,3,"out","prune and armagnac puddingwith boozy butterscotch sauce","caramelised apple and marzipan tartletschocolate elephant earspassion fruit mille-feuille","english teacher","teignmouth, devon"
"238","frances",31,4,7,5,"star baker","figgy roll-y poly puddingwith caramelised walnut and honey ice-cream","french framboise cream hornssheet music mille-feuillebass clef palmiers","children's clothes designer","market harborough, leicestershire"
"239","beca",31,4,8,4,"in","potato, spelt and rosemary focaccia","spiced butternut squash and pecan 'cheese' cake","military wives' choir singer","aldershot, hampshire"
"240","frances",31,4,8,3,"in","'chelsea flour show' bun bouquet","hidden carrot cake (ground praline, beetroot and walnut)","children's clothes designer","market harborough, leicestershire"
"241","kimberley",30,4,8,2,"in","wild garlic pesto and parma ham spelt loaf","butternut squash and spice cake toadstool house","psychologist","london"
"242","christine",66,4,8,5,"out","multi-seeded loaf with pumpkin, sesame and sunflower seeds","sweet potato guitar with passion fruit icing and marshmallow fondant","director of an engraving company","didcot, oxfordshire"
"243","ruby",20,4,8,1,"star baker","mango and nigella seed spelt cob","carrot cake and pistachio garden plot","history of art and philosophy student","southend, essex"
"244","frances",31,4,9,2,"in","legume canapés:
chantenay carrotschoux pastry tomatoescauliflower cheese scones","great british soap opera cake","children's clothes designer","market harborough, leicestershire"
"245","ruby",20,4,9,4,"in","beetroot jelly on poppy seed biscuitsspinach, parmesan and egg tartletschoux buns with goat's cheese and caramelised onions","chocolate, almond praline and saffron opera cake","history of art and philosophy student","southend, essex"
"246","beca",31,4,9,3,"out","stilton and walnut macaronsbeetroot and salmon choux puffswelsh rarebit tartlets","banoffee opera cake","military wives' choir singer","aldershot, hampshire"
"247","kimberley",30,4,9,1,"star baker","pea purée tartscrab and wasabi profiterolessteamed buns with barbecue chicken","passion fruit and lime opera cake","psychologist","london"
"248","kimberley",30,4,10,1,"runner-up","chicken and pig pie","languages of love wedding cake","psychologist","london"
"249","ruby",20,4,10,2,"runner-up","picnic basket pie","raspberry, lemon and passion fruit wedding cake","history of art and philosophy student","southend, essex"
"250","frances",31,4,10,3,"winner","rainbow picnic pie","midsummer night's dream wedding cake","children's clothes designer","market harborough, leicestershire"
"251","chetna",35,5,1,3,"in","cardamom, pistachio and coffee swiss roll","tiered victoria sponges with lemon curd and raspberry cream","fashion designer","broadstairs, kent"
"252","diana",69,5,1,5,"in","mum's sunday tea lemon curd swiss roll","chocolate ganache surprises","women's institute (wi) judge","alkington, shropshire"
"253","enwezor",39,5,1,9,"in","raspberry and lemon swiss roll","coffee and walnut battenberg squares","business consultant","portsmouth, hampshire"
"254","iain",31,5,1,4,"in","apricot and basil swiss roll with mascarpone and white chocolate cream","lemon drizzle cakes with mascarpone filling, drizzled icing, and candied lemon","construction engineer","london/belfast"
"255","jordan",32,5,1,12,"in","kawaii frasier swiss roll","lemon drizzle cakes with blueberry and lemon curd","it manager","sneinton, nottingham"
"256","kate",41,5,1,6,"in","red velvet and white chocolate swiss roll","mini tiered victoria sponges","furniture restorer","brighton, east sussex"
"257","luis",42,5,1,7,"in","spanish swiss roll","raspberry and lemon genoise slices with lemon drizzles","graphic designer","poynton, cheshire"
"258","martha",17,5,1,2,"in","tiramisu swiss roll","mini lemon and thyme drizzle cakes","student","ascot, berkshire"
"259","norman",66,5,1,11,"in","black forest swiss roll","almond and raspberry mini cakes","retired naval officer","portknockie, moray"
"260","richard",38,5,1,10,"in","pistachio and strawberry swiss roll","miniature coffee & walnut cakes","builder","mill hill, london"
"261","claire",31,5,1,8,"out","chocolatey orangey swirly roll","mini chocolate and cherry cakes","speech therapist","ashton upon mersey, trafford"
"262","nancy",60,5,1,1,"star baker","coffee and hazelnut swiss roll","jaffa orange cakes","retired practice manager","barton-upon-humber, lincolnshire"
"263","chetna",35,5,2,8,"in","fenugreek and carom crackers","day on the beach","fashion designer","broadstairs, kent"
"264","diana",69,5,2,7,"in","parmesan triangles","express, first class","women's institute (wi) judge","alkington, shropshire"
"265","iain",31,5,2,11,"in","za'atar and fig biscuits","wild west scene","construction engineer","london/belfast"
"266","jordan",32,5,2,6,"in","sourdough, parmesan and chilli biscuits","monster attack","it manager","sneinton, nottingham"
"267","kate",41,5,2,4,"in","parmesan and apple biscuits","tea time","furniture restorer","brighton, east sussex"
"268","luis",42,5,2,3,"in","black olive and rosemary biscuits with caramelised onion glaze","george versus the dragon","graphic designer","poynton, cheshire"
"269","martha",17,5,2,5,"in","caramelised onion and goat's cheese sandwich biscuits","ski village scene","student","ascot, berkshire"
"270","nancy",60,5,2,2,"in","fennel and rye thins","hansel and gretel scene","retired practice manager","barton-upon-humber, lincolnshire"
"271","norman",66,5,2,10,"in","farthing biscuits","zulu boats at dawn","retired naval officer","portknockie, moray"
"272","enwezor",39,5,2,9,"out","pumpkin and sunflower savoury biscuits","space adventure moon scene","business consultant","portsmouth, hampshire"
"273","richard",38,5,2,1,"star baker","rosemary seeded crackers","pirates!","builder","mill hill, london"
"274","chetna",35,5,3,8,"in","onion and pine nut rolls","rolled and filled twin loaf","fashion designer","broadstairs, kent"
"275","diana",69,5,3,7,"in","rustic picnic rolls","sharing savoury pinwheel","women's institute (wi) judge","alkington, shropshire"
"276","iain",31,5,3,9,"in","cranberry and walnut rye bread rolls","moroccan plaited with a bessara dip","construction engineer","london/belfast"
"277","kate",41,5,3,1,"in","orange and cardamom rye bread knots","prosciutto, olive and coriander bread","furniture restorer","brighton, east sussex"
"278","martha",17,5,3,3,"in","date and walnut rye rolls","stuffed sunflower loaf","student","ascot, berkshire"
"279","nancy",60,5,3,5,"in","cider and walnut crusty rolls","'full english' stromboli","retired practice manager","barton-upon-humber, lincolnshire"
"280","norman",66,5,3,4,"in","rye bread rolls","chicken and roasted vegetable picnic loaf","retired naval officer","portknockie, moray"
"281","richard",38,5,3,6,"in","rye and cranberry rolls","pesto pinwheel","builder","mill hill, london"
"282","jordan",32,5,3,10,"out","rye and spelt bread rolls","strawberry raspberry cheesecake brioche","it manager","sneinton, nottingham"
"283","luis",42,5,3,2,"star baker","opposites attract rolls","roscón de reyes","graphic designer","poynton, cheshire"
"284","chetna",35,5,4,3,"in","rhubarb, strawberry and orange puddings","mango, raspberry and coconut baked alaska","fashion designer","broadstairs, kent"
"285","diana",69,5,4,9,"in","orange and lemon curd pots","raspberry ripple alaska swan","women's institute (wi) judge","alkington, shropshire"
"286","kate",41,5,4,7,"in","chocolate and salted caramel molten puddings","pistachio, raspberry and chocolate baked alaska","furniture restorer","brighton, east sussex"
"287","luis",42,5,4,2,"in","pears in puddings","bakewell alaska","graphic designer","poynton, cheshire"
"288","martha",17,5,4,1,"in","peanut butter chocolate fondants","key lime baked alaska","student","ascot, berkshire"
"289","nancy",60,5,4,4,"in","pistachio puddings with chocolate sauce","summer pudding alaska","retired practice manager","barton-upon-humber, lincolnshire"
"290","norman",66,5,4,8,"in","mini sticky toffee puddings","baked alaska with strawberry surprise","retired naval officer","portknockie, moray"
"291","iain",31,5,4,6,"out","chocolate, lime and raspberry fondants","chocolate, black sesame seed and coffee caramel baked alaska (not presented)","construction engineer","london/belfast"
"292","richard",38,5,4,5,"star baker","black forest chocolate fondants","tiramisu baked alaska","builder","mill hill, london"
"293","chetna",35,5,5,2,"in","rice custard tart with mangoes and raspberries","fusion tiered pies","fashion designer","broadstairs, kent"
"294","luis",42,5,5,6,"in","tropical manchester tart","four fruity seasons tower","graphic designer","poynton, cheshire"
"295","martha",17,5,5,1,"in","pistachio, apricot and honey custard tart","three little pigs pie","student","ascot, berkshire"
"296","nancy",60,5,5,4,"in","chocolate crusted passion fruit tart","trio of apple pies","retired practice manager","barton-upon-humber, lincolnshire"
"297","richard",38,5,5,7,"in","fig and orange tart","three course autumn pie feast","builder","mill hill, london"
"298","norman",66,5,5,5,"out","tarte au citron","pieful tower","retired naval officer","portknockie, moray"
"299","kate",41,5,5,3,"star baker","rhubarb and custard tart","rhubarb, prune and apple pies","furniture restorer","brighton, east sussex"
"300","diana",69,5,5,NA,"wd",NA,NA,"women's institute (wi) judge","alkington, shropshire"
"301","kate",41,5,6,6,"in","pecan, chocolate and sour cherry yeast cake","trio of dobos tortes","furniture restorer","brighton, east sussex"
"302","luis",42,5,6,3,"in","apple and cinnamon kugelhopf with honeyed apples","the cage on the rocky hill","graphic designer","poynton, cheshire"
"303","martha",17,5,6,4,"in","dark chocolate and almond liqueur savarin","chess-themed chocolate and salted caramel dobos torte","student","ascot, berkshire"
